gene_id	resource_in_FunGen_xQTL	data_resources	chr	start	end	gene_name
ENSG00000002919	ColocBoost	FunGen_xQTL	17	48103356	48103357	SNX11
ENSG00000005100	ColocBoost	FunGen_xQTL	17	5468981	5468982	DHX33
ENSG00000006530	ColocBoost	FunGen_xQTL	7	141551277	141551278	AGK
ENSG00000008294	ColocBoost	FunGen_xQTL	17	51120867	51120868	SPAG9
ENSG00000013503	ColocBoost	FunGen_xQTL	12	106357747	106357748	POLR3B
ENSG00000015592	""	FunGen_AD_PI	8	27258419	27258420	STMN4
ENSG00000022277	""	FunGen_AD_PI	20	56468584	56468585	RTF2
ENSG00000025434	""	FunGen_AD_PI	11	47248299	47248300	NR1H3
ENSG00000029725	ColocBoost	FunGen_xQTL	17	5282264	5282265	RABEP1
ENSG00000030582	ColocBoost,single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	17	44345261	44345262	GRN
ENSG00000035115	ColocBoost	FunGen_xQTL	2	266397	266398	SH3YL1
ENSG00000046604	ColocBoost	FunGen_xQTL	18	31498176	31498177	DSG2
ENSG00000048740	""	FunGen_AD_PI	10	10798396	10798397	CELF2
ENSG00000048991	ColocBoost	FunGen_xQTL	2	135531454	135531455	R3HDM1
ENSG00000050438	ColocBoost	FunGen_xQTL	12	51391316	51391317	SLC4A8
ENSG00000052344	ColocBoost	FunGen_xQTL	16	31135726	31135727	PRSS8
ENSG00000055950	ColocBoost	FunGen_xQTL	10	100987514	100987515	MRPL43
ENSG00000057663	ColocBoost	FunGen_xQTL	6	106325790	106325791	ATG5
ENSG00000062822	ColocBoost	FunGen_xQTL	19	50384203	50384204	POLD1
ENSG00000064687	""	ADSP_GVC,FunGen_AD_PI	19	1040106	1040107	ABCA7
ENSG00000065833	ColocBoost	FunGen_xQTL	6	83431050	83431051	ME1
ENSG00000066336	""	ADSP_GVC	11	47378546	47378547	SPI1
ENSG00000066923	""	FunGen_AD_PI	7	100177562	100177563	STAG3
ENSG00000067955	ColocBoost	FunGen_xQTL	16	67028983	67028984	CBFB
ENSG00000070756	ColocBoost,single_context,multi_context,MetaBrain,multi_gene	FunGen_xQTL	8	100722808	100722809	PABPC1
ENSG00000071051	ColocBoost,single_context,multi_context	FunGen_xQTL	2	105744911	105744912	NCK2
ENSG00000071894	ColocBoost	FunGen_xQTL	8	144409334	144409335	CPSF1
ENSG00000073921	ColocBoost,single_context,multi_context	FunGen_xQTL,ADSP_GVC	11	86069881	86069882	PICALM
ENSG00000073969	ColocBoost	FunGen_xQTL	17	46590668	46590669	NSF
ENSG00000075292	ColocBoost	FunGen_xQTL	2	71276560	71276561	ZNF638
ENSG00000077080	ColocBoost	FunGen_xQTL	7	100656447	100656448	ACTL6B
ENSG00000077454	""	FunGen_AD_PI	7	100586128	100586129	LRCH4
ENSG00000079313	single_context,multi_context,MetaBrain,multi_gene,ColocBoost	FunGen_xQTL	19	1848482	1848483	REXO1
ENSG00000080815	""	ADSP_GVC,FunGen_AD_PI	14	73136417	73136418	PSEN1
ENSG00000082258	ColocBoost,single_context,multi_gene	FunGen_xQTL	2	134918234	134918235	CCNT2
ENSG00000085514	""	ADSP_GVC	7	100367529	100367530	PILRA
ENSG00000087589	ColocBoost,single_context,multi_context	FunGen_xQTL	20	56412111	56412112	CASS4
ENSG00000089060	ColocBoost,single_context	FunGen_xQTL	12	113359492	113359493	SLC8B1
ENSG00000090238	ColocBoost	FunGen_xQTL	16	30096914	30096915	YPEL3
ENSG00000090857	single_context	FunGen_xQTL	16	70114331	70114332	PDPR
ENSG00000092439	ColocBoost	FunGen_xQTL	15	50686796	50686797	TRPM7
