schema_version	route_id	candidate_id	gene	phase18_context	cohort	modality	cell_type	context_match	eligible	measurement_state	signal_state	model_state	ld_state	terminal_state	reason
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1_2_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0028	GS044	RPS15	Inhibitory_neurons	ROSMAP_CUIMC1_2_MIT	snuc-eQTL	Inhibitory neuron	exact_inhibitory	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_CUIMC1__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0016	GS044	RPS15	Inhibitory_neurons	ROSMAP_CUIMC1	snuc-eQTL	Inhibitory neuron	exact_inhibitory	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP_MIT__snuc_eQTL__Inhibitory_neuron__NGFGXQTL0022	GS044	RPS15	Inhibitory_neurons	ROSMAP_MIT	snuc-eQTL	Inhibitory neuron	exact_inhibitory	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__Knight_ADRC__eQTL__Parietal_cortex__NGFGXQTL0001	GS044	RPS15	Inhibitory_neurons	Knight-ADRC	eQTL	Parietal cortex	bulk_brain_fallback	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_10__NGFGXQTL0008	GS044	RPS15	Inhibitory_neurons	MSBB	eQTL	Frontal cortex Brodmann Area 10	bulk_brain_fallback	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_22__NGFGXQTL0009	GS044	RPS15	Inhibitory_neurons	MSBB	eQTL	Frontal cortex Brodmann Area 22	bulk_brain_fallback	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_36__NGFGXQTL0010	GS044	RPS15	Inhibitory_neurons	MSBB	eQTL	Frontal cortex Brodmann Area 36	bulk_brain_fallback	TRUE	measured_candidate_target	source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	model_or_ld_incompatible	source_significant_RPS15_QTL_and_small_chr19_all_association_members_registered_but_no_direct_individual_file_download_endpoint_or_complete_fitted_model_and_source_matched_LD
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__MSBB__eQTL__Frontal_cortex_Brodmann_Area_44__NGFGXQTL0011	GS044	RPS15	Inhibitory_neurons	MSBB	eQTL	Frontal cortex Brodmann Area 44	bulk_brain_fallback	TRUE	measurement_unresolved	not_assessable	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	measurement_unresolved	RPS15_absent_from_significant_and_finemapping_summary_files;absence_does_not_prove_not_measured
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Anterior_caudate__NGFGXQTL0032	GS044	RPS15	Inhibitory_neurons	ROSMAP	eQTL	Anterior caudate	bulk_brain_fallback	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
phase19_opc_rps15_public_recovery_v1	GS044__NG00184v1__ROSMAP__eQTL__Dorsolateral_prefrontal_cortex__NGFGXQTL0033	GS044	RPS15	Inhibitory_neurons	ROSMAP	eQTL	Dorsolateral prefrontal cortex	bulk_brain_fallback	TRUE	measured_candidate_target	no_source_significant_cis_signal	complete_fitted_multisignal_model_unavailable	source_matched_LD_unavailable	no_regional_qtl_signal	released_finemapping_rows_explicitly_mark_RPS15_is_hmt_signif_false
